apogee_id,glon,glat,snr,vhelio_avg,vscatter,teff,logg,m_h,alpha_m
2M10530550+4518387,167.3902,60.27998,85.01405,-21.82957,0.07987794,4287.364,4.595557,-0.032118,-0.0549017
2M10530550+4518387,167.3902,60.27998,85.01405,-21.82957,0.07987794,4287.364,4.595557,-0.032118,-0.0549017
2M10530550+4518387,167.3902,60.27998,85.01405,-21.82957,0.07987794,4287.364,4.595557,-0.032118,-0.0549017
2M10531904+4406241,169.5434,60.85621,108.4567,-6.409694,0.05509251,4535.746,4.606302,-0.10801,0.0012857
2M10531904+4406241,169.5434,60.85621,108.4567,-6.409694,0.05509251,4535.746,4.606302,-0.10801,0.0012857
2M10531904+4406241,169.5434,60.85621,108.4567,-6.409694,0.05509251,4535.746,4.606302,-0.10801,0.0012857
2M10531904+4406241,169.5434,60.85621,108.4567,-6.409694,0.05509251,4535.746,4.606302,-0.10801,0.0012857
2M10534247+1353233,232.74613,59.53261,146.1181,-6.506241,0.05604097,5049.678,3.697698,-0.09415,0.061552
2M10540947+4509004,167.50211,60.52078,94.26923,-9.209782,11.75435,4529.231,4.562323,-0.22411,-0.0357107
2M10540947+4509004,167.50211,60.52078,94.26923,-9.209782,11.75435,4529.231,4.562323,-0.22411,-0.0357107
2M10540947+4509004,167.50211,60.52078,94.26923,-9.209782,11.75435,4529.231,4.562323,-0.22411,-0.0357107
2M10540947+4509004,167.50211,60.52078,94.26923,-9.209782,11.75435,4529.231,4.562323,-0.22411,-0.0357107
2M10540947+4509004,167.50211,60.52078,94.26923,-9.209782,11.75435,4529.231,4.562323,-0.22411,-0.0357107
2M10544326+4355266,169.65586,61.16294,45.91886,-6.590451,0.09202221,4167.585,4.611835,0.13928,-0.0354357
2M10544326+4355266,169.65586,61.16294,45.91886,-6.590451,0.09202221,4167.585,4.611835,0.13928,-0.0354357
2M10544326+4355266,169.65586,61.16294,45.91886,-6.590451,0.09202221,4167.585,4.611835,0.13928,-0.0354357
2M10544326+4355266,169.65586,61.16294,45.91886,-6.590451,0.09202221,4167.585,4.611835,0.13928,-0.0354357
2M10544758+4401267,169.45776,61.13077,99.77333,-7.0625,0.06651296,4826.01,4.57364,0.021738,0.008888099
2M10544758+4401267,169.45776,61.13077,99.77333,-7.0625,0.06651296,4826.01,4.57364,0.021738,0.008888099
2M10544758+4401267,169.45776,61.13077,99.77333,-7.0625,0.06651296,4826.01,4.57364,0.021738,0.008888099
2M10544758+4401267,169.45776,61.13077,99.77333,-7.0625,0.06651296,4826.01,4.57364,0.021738,0.008888099
2M10544837+4423527,168.76362,60.96674,85.20701,-7.946146,0.12348,3449.544,4.68081,-9999,-9999
